locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
8118,"New Delhi","pm25",30,"2023-04-27T11:30:00+00:00","2023-04-27T17:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",28,"2023-04-27T10:30:00+00:00","2023-04-27T16:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",37,"2023-04-27T09:30:00+00:00","2023-04-27T15:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",34,"2023-04-27T08:30:00+00:00","2023-04-27T14:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",78,"2023-04-27T07:30:00+00:00","2023-04-27T13:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",48,"2023-04-27T06:30:00+00:00","2023-04-27T12:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",64,"2023-04-27T05:30:00+00:00","2023-04-27T11:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",77,"2023-04-27T04:30:00+00:00","2023-04-27T10:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",101,"2023-04-27T03:30:00+00:00","2023-04-27T09:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",156,"2023-04-27T02:30:00+00:00","2023-04-27T08:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",114,"2023-04-27T01:30:00+00:00","2023-04-27T07:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",111,"2023-04-27T00:30:00+00:00","2023-04-27T06:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",118,"2023-04-26T23:30:00+00:00","2023-04-27T05:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",116,"2023-04-26T22:30:00+00:00","2023-04-27T04:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",165,"2023-04-26T21:30:00+00:00","2023-04-27T03:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",116,"2023-04-26T20:30:00+00:00","2023-04-27T02:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",108,"2023-04-26T19:30:00+00:00","2023-04-27T01:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",107,"2023-04-26T18:30:00+00:00","2023-04-27T00:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",111,"2023-04-26T17:30:00+00:00","2023-04-26T23:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",96,"2023-04-26T16:30:00+00:00","2023-04-26T22:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",94,"2023-04-26T15:30:00+00:00","2023-04-26T21:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",76,"2023-04-26T14:30:00+00:00","2023-04-26T20:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",67,"2023-04-26T13:30:00+00:00","2023-04-26T19:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",60,"2023-04-26T12:30:00+00:00","2023-04-26T18:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",58,"2023-04-26T11:30:00+00:00","2023-04-26T17:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",49,"2023-04-26T10:30:00+00:00","2023-04-26T16:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",46,"2023-04-26T09:30:00+00:00","2023-04-26T15:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",51,"2023-04-26T08:30:00+00:00","2023-04-26T14:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",54,"2023-04-26T07:30:00+00:00","2023-04-26T13:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",50,"2023-04-26T06:30:00+00:00","2023-04-26T12:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",51,"2023-04-26T05:30:00+00:00","2023-04-26T11:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",60,"2023-04-26T04:30:00+00:00","2023-04-26T10:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",99,"2023-04-26T03:30:00+00:00","2023-04-26T09:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",114,"2023-04-26T02:30:00+00:00","2023-04-26T08:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",103,"2023-04-26T01:30:00+00:00","2023-04-26T07:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",97,"2023-04-26T00:30:00+00:00","2023-04-26T06:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",107,"2023-04-25T23:30:00+00:00","2023-04-26T05:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",106,"2023-04-25T22:30:00+00:00","2023-04-26T04:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",97,"2023-04-25T21:30:00+00:00","2023-04-26T03:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",99,"2023-04-25T20:30:00+00:00","2023-04-26T02:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",93,"2023-04-25T19:30:00+00:00","2023-04-26T01:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",89,"2023-04-25T18:30:00+00:00","2023-04-26T00:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",81,"2023-04-25T17:30:00+00:00","2023-04-25T23:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",77,"2023-04-25T16:30:00+00:00","2023-04-25T22:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",77,"2023-04-25T15:30:00+00:00","2023-04-25T21:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",61,"2023-04-25T14:30:00+00:00","2023-04-25T20:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",50,"2023-04-25T13:30:00+00:00","2023-04-25T19:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",46,"2023-04-25T12:30:00+00:00","2023-04-25T18:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",44,"2023-04-25T11:30:00+00:00","2023-04-25T17:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",43,"2023-04-25T10:30:00+00:00","2023-04-25T16:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",46,"2023-04-25T09:30:00+00:00","2023-04-25T15:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",38,"2023-04-25T08:30:00+00:00","2023-04-25T14:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",92,"2023-04-25T07:30:00+00:00","2023-04-25T13:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",51,"2023-04-25T06:30:00+00:00","2023-04-25T12:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",52,"2023-04-25T05:30:00+00:00","2023-04-25T11:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",56,"2023-04-25T04:30:00+00:00","2023-04-25T10:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",52,"2023-04-25T03:30:00+00:00","2023-04-25T09:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",60,"2023-04-25T02:30:00+00:00","2023-04-25T08:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",75,"2023-04-25T01:30:00+00:00","2023-04-25T07:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",53,"2023-04-25T00:30:00+00:00","2023-04-25T06:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",50,"2023-04-24T23:30:00+00:00","2023-04-25T05:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",51,"2023-04-24T22:30:00+00:00","2023-04-25T04:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",48,"2023-04-24T21:30:00+00:00","2023-04-25T03:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",49,"2023-04-24T20:30:00+00:00","2023-04-25T02:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",63,"2023-04-24T19:30:00+00:00","2023-04-25T01:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",81,"2023-04-24T18:30:00+00:00","2023-04-25T00:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",51,"2023-04-24T17:30:00+00:00","2023-04-24T23:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",52,"2023-04-24T16:30:00+00:00","2023-04-24T22:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",42,"2023-04-24T15:30:00+00:00","2023-04-24T21:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",34,"2023-04-24T14:30:00+00:00","2023-04-24T20:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",23,"2023-04-24T13:30:00+00:00","2023-04-24T19:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",29,"2023-04-24T12:30:00+00:00","2023-04-24T18:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",37,"2023-04-24T11:30:00+00:00","2023-04-24T17:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",38,"2023-04-24T10:30:00+00:00","2023-04-24T16:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",46,"2023-04-24T09:30:00+00:00","2023-04-24T15:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",77,"2023-04-24T08:30:00+00:00","2023-04-24T14:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",88,"2023-04-24T07:30:00+00:00","2023-04-24T13:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",69,"2023-04-24T06:30:00+00:00","2023-04-24T12:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",95,"2023-04-24T05:30:00+00:00","2023-04-24T11:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",97,"2023-04-24T04:30:00+00:00","2023-04-24T10:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",79,"2023-04-24T03:30:00+00:00","2023-04-24T09:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
8118,"New Delhi","pm25",49,"2023-04-24T02:30:00+00:00","2023-04-24T08:00:00+05:30","µg/m³",28.63576,77.22445,"IN","India",false,false,"government","reference grade"
